  1 This software is NOT part of Wordnet. and is being provided to you
  2 by Manu Konchady under the Perl Artistic License (PAL)
  3 This is the data file for additional words in the Wordnet format
  4 Do not edit this file. Change the .dat files and rerun masher.pl
00000268 00 a 01 open_source 0 000 | of or relating to or being computer software for which the source code is freely available
00000396 00 c 05 accordingly 0 consequently 0 hence 0 therefore 0 thus 0 000 |
00000475 00 c 01 after 0 000 |
00000506 00 c 01 albeit 0 000 |
00000538 00 c 02 also 0 besides 0 000 |
00000578 00 c 02 although 0 though 0 000 |
00000621 00 c 01 and 0 000 |used to build a compound sentence "Jack and Jill went up the hill"
00000716 00 c 01 and_or 0 000 |
00000748 00 c 01 anyhow 0 000 |
00000780 00 c 01 anyway 0 000 |
00000812 00 c 01 as 0 000 |
00000840 00 c 01 as_far_as 0 000 |
00000875 00 c 01 as_if 0 000 |
00000906 00 c 01 as_long_as 0 000 |
00000942 00 c 01 as_much_as 0 000 |
00000978 00 c 01 as_soon_as 0 000 |
00001014 00 c 01 as_though 0 000 |
00001049 00 c 01 because 0 000 |
00001082 00 c 02 before 0 earlier 0 000 |
00001124 00 c 01 both 0 000 |
00001154 00 c 01 but 0 000 |
00001183 00 c 01 cos 0 000 |
00001212 00 c 01 either 0 000 |
00001244 00 c 01 even_if 0 000 |
00001277 00 c 01 even_though 0 000 |
00001314 00 c 01 even_when 0 000 |
00001349 00 c 02 except 0 excluding 0 000 |
00001393 00 c 01 except_that 0 000 |
00001430 00 c 01 for 0 000 |
00001459 00 c 02 furthermore 0 moreover 0 000 |
00001507 00 c 01 given_that 0 000 |
00001543 00 c 01 how 0 000 |
00001572 00 c 03 however 0 nevertheless 0 nonetheless 0 000 |
00001634 00 c 01 if 0 000 |
00001662 00 c 01 in_case 0 000 |
00001695 00 c 01 in_order_that 0 000 |
00001734 00 c 01 in_that 0 000 |
00001767 00 c 01 inasmuch_as 0 000 |
00001804 00 c 01 indeed 0 000 |
00001836 00 c 01 like 0 000 |
00001866 00 c 02 likewise 0 similarly 0 000 |
00001912 00 c 01 namely 0 000 |
00001944 00 c 01 neither 0 000 |
00001977 00 c 01 nor 0 000 |
00002006 00 c 01 not_only 0 000 |
00002040 00 c 01 now_that 0 000 |
00002074 00 c 01 once 0 000 |
00002104 00 c 01 or 0 000 |
00002132 00 c 01 otherwise 0 000 |
00002167 00 c 01 provided 0 000 |
00002201 00 c 01 provided_that 0 000 |
00002240 00 c 01 rather_than 0 000 |
00002277 00 c 01 since 0 000 |
00002308 00 c 01 so 0 000 |
00002336 00 c 01 so_as 0 000 |
00002367 00 c 01 so_long_as 0 000 |
00002403 00 c 01 so_that 0 000 |
00002436 00 c 02 still 0 yet 0 000 |
00002473 00 c 01 than 0 000 |
